Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8
211,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4,8
261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4,9
425,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,Single,2,4
540,22,Male,Graduate,Canada,4.5,TikTok,Yes,7.7,7,Single,3,6
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7
406,21,Male,Graduate,Turkey,4.7,Instagram,Yes,7.5,6,Single,3,7
639,23,Female,Graduate,Spain,6.4,Facebook,Yes,6.2,5,Single,4,8
591,19,Female,Undergraduate,India,7.0,Instagram,Yes,5.8,4,Single,5,9
632,21,Male,Undergraduate,UK,6.2,Facebook,Yes,6.3,5,Single,4,8
655,21,Female,Undergraduate,Finland,4.4,Instagram,No,7.4,7,In Relationship,2,5
531,20,Female,Undergraduate,Brazil,5.9,TikTok,Yes,6.6,6,Single,3,7
337,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.4,5,In Relationship,4,9
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5
645,23,Female,Graduate,USA,5.3,Twitter,Yes,6.8,6,In Relationship,3,7
487,20,Female,Undergraduate,USA,8.4,TikTok,Yes,3.9,5,In Relationship,4,9
440,22,Male,Graduate,Canada,4.2,TikTok,Yes,8.0,6,Single,3,7
577,20,Female,Undergraduate,USA,5.9,Instagram,Yes,6.7,6,In Relationship,3,7
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8
624,19,Male,Undergraduate,Ireland,5.8,Instagram,Yes,6.6,6,Single,3,7
537,19,Female,Undergraduate,UAE,6.8,Instagram,Yes,6.2,5,In Relationship,4,8
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8
376,22,Male,Graduate,Turkey,5.0,TikTok,Yes,7.2,6,Single,3,7
224,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4
486,21,Male,Graduate,Turkey,3.9,Instagram,Yes,8.3,6,Single,3,7
339,20,Female,Undergraduate,France,4.4,Instagram,No,7.6,7,In Relationship,2,5
447,20,Female,Undergraduate,USA,8.0,TikTok,Yes,4.3,5,In Relationship,4,9
205,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,8
378,21,Male,Graduate,Mexico,6.1,WhatsApp,Yes,6.1,6,Single,3,7
498,21,Male,Graduate,Mexico,7.3,WhatsApp,Yes,4.9,6,Single,3,7
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4
336,22,Male,Graduate,Turkey,5.4,TikTok,Yes,6.8,6,Single,3,7
372,22,Male,Graduate,Denmark,3.5,Facebook,No,8.3,8,In Relationship,2,4
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5
400,22,Male,Graduate,Canada,4.6,TikTok,Yes,7.6,6,Single,3,7
216,22,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2,6
569,19,Female,Undergraduate,India,7.4,WhatsApp,Yes,5.4,5,In Relationship,4,8
266,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3,8
688,22,Male,Graduate,Poland,6.3,TikTok,Yes,6.2,5,Single,4,8
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7
519,20,Female,Undergraduate,India,6.9,WhatsApp,Yes,5.9,5,In Relationship,4,8
619,24,Female,Graduate,Japan,4.2,Twitter,No,7.5,8,Single,2,4
448,22,Male,Graduate,Mexico,6.8,WhatsApp,Yes,5.4,6,Single,3,7
355,20,Female,Undergraduate,Switzerland,3.6,Instagram,No,8.2,8,Single,2,4
285,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.4,4,Single,4,9
418,21,Male,Graduate,Mexico,6.5,WhatsApp,Yes,5.7,6,Single,3,7
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7
634,20,Male,Undergraduate,Russia,6.9,Instagram,Yes,5.9,4,Single,5,9
542,21,Male,Graduate,China,4.1,WeChat,No,8.2,7,In Relationship,2,5
300,22,Male,Graduate,Russia,3.9,VKontakte,No,8.1,7,In Relationship,2,5
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9
535,20,Female,Undergraduate,Singapore,5.4,TikTok,Yes,6.7,6,Single,3,7
640,20,Male,Undergraduate,Denmark,4.5,Twitter,No,7.3,7,In Relationship,2,5
528,22,Male,Graduate,Poland,4.0,Facebook,No,8.1,7,Single,2,5
383,20,Female,Undergraduate,Ireland,4.3,TikTok,Yes,7.6,7,Single,3,6
382,21,Male,Graduate,Denmark,3.4,Facebook,No,8.4,8,In Relationship,2,4
516,22,Male,Graduate,Malaysia,5.6,WhatsApp,Yes,6.7,6,Single,3,7
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6
559,20,Female,Undergraduate,India,7.3,WhatsApp,Yes,5.5,5,In Relationship,4,8
617,22,Female,Graduate,Russia,6.8,Instagram,Yes,5.9,4,Single,5,9
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8
368,22,Male,Graduate,Mexico,6.0,WhatsApp,Yes,6.2,6,Single,3,7
594,24,Male,Graduate,USA,5.6,Instagram,Yes,6.9,6,In Relationship,3,7
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7
660,23,Male,Graduate,Switzerland,4.5,Facebook,No,7.3,7,In Relationship,2,5
395,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,Single,2,4
483,20,Female,Undergraduate,Ireland,3.3,TikTok,Yes,8.6,7,Single,3,6
347,20,Female,Undergraduate,USA,7.0,TikTok,Yes,5.3,5,In Relationship,4,9
430,21,Male,Graduate,Canada,4.3,Instagram,Yes,7.9,6,Single,3,7
178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8
466,21,Male,Graduate,Turkey,4.1,Instagram,Yes,8.1,6,Single,3,7
454,21,Male,Graduate,India,7.1,WhatsApp,Yes,5.2,5,In Relationship,4,8
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4
219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5
463,20,Female,Undergraduate,Ireland,3.5,TikTok,Yes,8.4,7,Single,3,6
364,22,Male,Graduate,India,6.2,WhatsApp,Yes,6.1,5,In Relationship,4,8
265,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,Single,1,3
470,21,Male,Graduate,Canada,3.9,Instagram,Yes,8.3,6,Single,3,7
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7
391,20,Female,Undergraduate,Spain,4.5,TikTok,Yes,7.4,6,Single,3,7
276,22,Male,Graduate,Russia,4.2,VKontakte,No,7.8,7,Single,2,5
248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4
704,24,Male,Graduate,Japan,4.3,Twitter,No,7.5,8,Single,2,4
362,21,Male,Graduate,Denmark,3.6,Facebook,No,8.2,8,In Relationship,2,4
358,21,Male,Graduate,Mexico,5.9,WhatsApp,Yes,6.3,6,Single,3,7
627,23,Female,Graduate,Turkey,6.7,Instagram,Yes,6.1,5,Single,4,8
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8
361,19,Female,Undergraduate,Spain,4.8,Instagram,Yes,7.1,6,Single,3,7
315,20,Female,Undergraduate,South Korea,4.2,KakaoTalk,Yes,7.6,6,Single,3,6
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1,3
431,20,Female,Undergraduate,Spain,4.1,TikTok,Yes,7.8,6,Single,3,7
474,21,Male,Graduate,India,7.3,WhatsApp,Yes,5.0,5,In Relationship,4,8
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4
250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7
311,20,Female,Undergraduate,Australia,4.0,Facebook,No,7.8,7,In Relationship,2,5
222,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7
573,19,Female,Undergraduate,Ireland,5.5,TikTok,Yes,6.8,6,Single,4,8
684,23,Male,Graduate,Italy,4.8,Facebook,No,7.1,7,In Relationship,2,5
691,21,Female,Undergraduate,Denmark,4.6,Twitter,No,7.3,7,In Relationship,2,5
699,19,Female,Undergraduate,Canada,5.7,Instagram,Yes,6.6,6,Single,3,7
589,20,Female,Undergraduate,Denmark,4.4,Instagram,No,7.4,7,In Relationship,2,5
204,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,6
409,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,In Relationship,2,5
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8
550,21,Male,Graduate,Canada,4.4,Instagram,Yes,7.8,7,Single,3,6
293,19,Female,Undergraduate,USA,6.8,TikTok,Yes,5.3,4,In Relationship,4,9
469,19,Female,Undergraduate,France,3.1,Instagram,No,8.9,7,In Relationship,2,5
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,7
568,22,Male,Graduate,Poland,3.6,Facebook,No,8.5,7,Single,2,5
301,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.2,4,Single,4,9
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7
353,19,Female,Undergraduate,Ireland,4.6,Instagram,Yes,7.3,7,Single,3,6
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4
389,19,Female,Undergraduate,France,3.9,Instagram,No,8.1,7,In Relationship,2,5
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5
272,22,Male,Graduate,Germany,3.7,Facebook,No,7.8,8,In Relationship,1,4
